AcademicYr;BroadDiscipline;StudentLevel;NumOfRecords
2012;Law;Graduate;853
2012;Engineering/CS;Graduate;1835
2012;Education;Graduate;363
2012;Business;Graduate;1419
2012;Arts & Humanities;Graduate;924
2012;Architecture;Graduate;356
2011;Other/Interdisc.;Graduate;381
2011;Multiple Majors;Graduate;185
2011;Social Sciences;Graduate;827
2011;Public Admin;Graduate;388
2011;Physical Sciences;Graduate;1027
2011;Other Health Science;Graduate;589
2011;Life Sciences;Graduate;948
2011;Law;Graduate;870
2011;Engineering/CS;Graduate;1850
2011;Education;Graduate;354
2011;Business;Graduate;1516
2011;Arts & Humanities;Graduate;956
2011;Architecture;Graduate;361
2010;Other/Interdisc.;Graduate;444
2010;Multiple Majors;Graduate;204
2010;Social Sciences;Graduate;842
2010;Public Admin;Graduate;372
2010;Physical Sciences;Graduate;992
2010;Other Health Science;Graduate;634
2010;Life Sciences;Graduate;926
2010;Law;Graduate;915
2010;Engineering/CS;Graduate;1736
2010;Education;Graduate;368
2010;Business;Graduate;1519
2010;Arts & Humanities;Graduate;989
2010;Architecture;Graduate;352
2009;Other/Interdisc.;Graduate;418
2009;Multiple Majors;Graduate;199
2009;Social Sciences;Graduate;856
2009;Public Admin;Graduate;373
2009;Physical Sciences;Graduate;1013
2009;Other Health Science;Graduate;617
2009;Life Sciences;Graduate;936
2009;Law;Graduate;892
2009;Engineering/CS;Graduate;1767
2009;Education;Graduate;422
2009;Business;Graduate;1493
2009;Arts & Humanities;Graduate;979
2009;Architecture;Graduate;335
2008;Other/Interdisc.;Graduate;461
2008;Multiple Majors;Graduate;203
2008;Social Sciences;Graduate;880
2008;Public Admin;Graduate;378
2008;Physical Sciences;Graduate;930
2008;Other Health Science;Graduate;576
2008;Life Sciences;Graduate;880
2008;Law;Graduate;858
2008;Engineering/CS;Graduate;1845
2008;Education;Graduate;447
2008;Business;Graduate;1480
2008;Arts & Humanities;Graduate;990
2008;Architecture;Graduate;317
2007;Other/Interdisc.;Graduate;453
2007;Multiple Majors;Graduate;211
2007;Social Sciences;Graduate;937
2007;Public Admin;Graduate;367
2007;Physical Sciences;Graduate;961
2007;Other Health Science;Graduate;571
2007;Life Sciences;Graduate;896
2007;Law;Graduate;835
2007;Engineering/CS;Graduate;1842
2007;Education;Graduate;448
2007;Business;Graduate;1476
2007;Arts & Humanities;Graduate;987
2007;Architecture;Graduate;320
