School,Out2015,In2015,Out2014,In2014,Out2013,In2013,Out2012,In2012,Out2011,In2011,Out2010,In2010,Out2009,In2009,Out2008,In2008,Out2007,In2007,Out2006,In2006,
University of California-Berkeley,38139,13431,35850,12972,35742,12864,35752,12874,35712,12834,33819,10940,31715,8998,28264,7656,26785,7165,25338,6654,
University of California-Davis,38659,13951,36774,13896,36773,13895,36755,13877,36738,13860,34837,11958,32720,10003,29243,8635,27144,8124,26260,7576,
University of California-Irvine,37960,13252,36057,13179,36027,13149,36000,13122,36000,13122,34111,11232,32080,9363,28654,8046,27176,7556,25478,6794,
University of California-Los Angeles,37471,12763,35583,12705,35575,12697,35570,12692,35564,12686,33660,10781,31628,8911,27572,7551,26658,7165,25206,6522,
University of California-Merced,37916,13208,36038,13160,36038,13160,35948,13070,35948,13070,33909,11030,31878,9161,28357,7749,26768,7148,25337,6653,
University of California-Riverside,38235,13527,36285,13407,35838,12960,35838,12960,35802,12924,33908,11029,31869,9152,28453,7845,24735,7355,25274,6590,
University of California-San Diego,38238,13530,36305,13427,36149,13271,36095,13217,36078,13200,34185,11306,32154,9437,28673,8062,27076,7456,25372,6688,
University of California-Santa Barbara,38676,13968,36743,13865,36624,13746,36549,13671,36473,13595,34565,11686,32439,9722,28994,8386,25096,7896,25694,7010,
University of California-Santa Cruz,38169,13461,36275,13397,36275,13397,36294,13416,36294,13416,34384,11505,32224,9507,28778,8200,25718,7646,25701,7017,
