AcadYr,Major,Level,NumRecords,School
2016,Physical Sciences,Graduate,1096,Berkeley
2016,Other Health Science,Graduate,783,Berkeley
2016,Life Sciences,Graduate,998,Berkeley
2016,Law,Graduate,912,Berkeley
2016,Engineering/CS,Graduate,2345,Berkeley
2016,Education,Graduate,247,Berkeley
2016,Business,Graduate,1531,Berkeley
2016,Arts & Humanities,Graduate,699,Berkeley
2016,Architecture,Graduate,344,Berkeley
2015,Other/Interdisc.,Graduate,495,Berkeley
2015,Multiple Majors,Graduate,195,Berkeley
2015,Social Sciences,Graduate,661,Berkeley
2015,Public Admin,Graduate,372,Berkeley
2015,Physical Sciences,Graduate,1092,Berkeley
2015,Other Health Science,Graduate,743,Berkeley
2015,Life Sciences,Graduate,1014,Berkeley
2015,Law,Graduate,925,Berkeley
2015,Engineering/CS,Graduate,2185,Berkeley
2015,Education,Graduate,345,Berkeley
2015,Business,Graduate,1496,Berkeley
2015,Arts & Humanities,Graduate,809,Berkeley
2015,Architecture,Graduate,361,Berkeley
2014,Other/Interdisc.,Graduate,471,Berkeley
2014,Multiple Majors,Graduate,185,Berkeley
2014,Social Sciences,Graduate,717,Berkeley
2014,Public Admin,Graduate,355,Berkeley
2014,Physical Sciences,Graduate,1060,Berkeley
2014,Other Health Science,Graduate,694,Berkeley
2014,Life Sciences,Graduate,964,Berkeley
2014,Law,Graduate,874,Berkeley
2014,Engineering/CS,Graduate,2044,Berkeley
2014,Education,Graduate,363,Berkeley
2014,Business,Graduate,1495,Berkeley
2014,Arts & Humanities,Graduate,855,Berkeley
2014,Architecture,Graduate,362,Berkeley
2013,Other/Interdisc.,Graduate,423,Berkeley
2013,Multiple Majors,Graduate,189,Berkeley
2013,Social Sciences,Graduate,749,Berkeley
2013,Public Admin,Graduate,354,Berkeley
2013,Physical Sciences,Graduate,1086,Berkeley
2013,Other Health Science,Graduate,655,Berkeley
2013,Life Sciences,Graduate,965,Berkeley
2013,Law,Graduate,854,Berkeley
2013,Engineering/CS,Graduate,1946,Berkeley
2013,Education,Graduate,354,Berkeley
2013,Business,Graduate,1429,Berkeley
2013,Arts & Humanities,Graduate,885,Berkeley
2013,Architecture,Graduate,358,Berkeley
2012,Other/Interdisc.,Graduate,417,Berkeley
2012,Multiple Majors,Graduate,170,Berkeley
2012,Social Sciences,Graduate,772,Berkeley
2012,Public Admin,Graduate,381,Berkeley
2012,Physical Sciences,Graduate,1053,Berkeley
2012,Other Health Science,Graduate,614,Berkeley
2012,Life Sciences,Graduate,962,Berkeley
2012,Law,Graduate,853,Berkeley
2012,Engineering/CS,Graduate,1835,Berkeley
2012,Education,Graduate,363,Berkeley
2012,Business,Graduate,1419,Berkeley
2012,Arts & Humanities,Graduate,924,Berkeley
2012,Architecture,Graduate,356,Berkeley
2011,Other/Interdisc.,Graduate,381,Berkeley
2011,Multiple Majors,Graduate,185,Berkeley
2011,Social Sciences,Graduate,827,Berkeley
2011,Public Admin,Graduate,388,Berkeley
2011,Physical Sciences,Graduate,1027,Berkeley
2011,Other Health Science,Graduate,589,Berkeley
2011,Life Sciences,Graduate,948,Berkeley
2011,Law,Graduate,870,Berkeley
2011,Engineering/CS,Graduate,1850,Berkeley
2011,Education,Graduate,354,Berkeley
2011,Business,Graduate,1516,Berkeley
2011,Arts & Humanities,Graduate,956,Berkeley
2011,Architecture,Graduate,361,Berkeley
2010,Other/Interdisc.,Graduate,444,Berkeley
2010,Multiple Majors,Graduate,204,Berkeley
2010,Social Sciences,Graduate,842,Berkeley
2010,Public Admin,Graduate,372,Berkeley
2010,Physical Sciences,Graduate,992,Berkeley
2010,Other Health Science,Graduate,634,Berkeley
2010,Life Sciences,Graduate,926,Berkeley
2010,Law,Graduate,915,Berkeley
2010,Engineering/CS,Graduate,1736,Berkeley
2010,Education,Graduate,368,Berkeley
2010,Business,Graduate,1519,Berkeley
2010,Arts & Humanities,Graduate,989,Berkeley
2010,Architecture,Graduate,352,Berkeley
2009,Other/Interdisc.,Graduate,418,Berkeley
2009,Multiple Majors,Graduate,199,Berkeley
2009,Social Sciences,Graduate,856,Berkeley
2009,Public Admin,Graduate,373,Berkeley
2009,Physical Sciences,Graduate,1013,Berkeley
2009,Other Health Science,Graduate,617,Berkeley
2009,Life Sciences,Graduate,936,Berkeley
2009,Law,Graduate,892,Berkeley
2009,Engineering/CS,Graduate,1767,Berkeley
2009,Education,Graduate,422,Berkeley
2009,Business,Graduate,1493,Berkeley
2009,Arts & Humanities,Graduate,979,Berkeley
2009,Architecture,Graduate,335,Berkeley
2008,Other/Interdisc.,Graduate,461,Berkeley
2008,Multiple Majors,Graduate,203,Berkeley
2008,Social Sciences,Graduate,880,Berkeley
2008,Public Admin,Graduate,378,Berkeley
2008,Physical Sciences,Graduate,930,Berkeley
2008,Other Health Science,Graduate,576,Berkeley
2008,Life Sciences,Graduate,880,Berkeley
2008,Law,Graduate,858,Berkeley
2008,Engineering/CS,Graduate,1845,Berkeley
2008,Education,Graduate,447,Berkeley
2008,Business,Graduate,1480,Berkeley
2008,Arts & Humanities,Graduate,990,Berkeley
2008,Architecture,Graduate,317,Berkeley
2007,Other/Interdisc.,Graduate,453,Berkeley
2007,Multiple Majors,Graduate,211,Berkeley
2007,Social Sciences,Graduate,937,Berkeley
2007,Public Admin,Graduate,367,Berkeley
2007,Physical Sciences,Graduate,961,Berkeley
2007,Other Health Science,Graduate,571,Berkeley
2007,Life Sciences,Graduate,896,Berkeley
2007,Law,Graduate,835,Berkeley
2007,Engineering/CS,Graduate,1842,Berkeley
2007,Education,Graduate,448,Berkeley
2007,Business,Graduate,1476,Berkeley
2007,Arts & Humanities,Graduate,987,Berkeley
2007,Architecture,Graduate,320,Berkeley
2016,Undeclared,Undergraduate,345,Davis
2016,Other/Interdisc.,Undergraduate,1844,Davis
2016,Multiple Majors,Undergraduate,1339,Davis
2016,Social Sciences,Undergraduate,6022,Davis
2016,Physical Sciences,Undergraduate,1853,Davis
2016,Other Health Science,Undergraduate,440,Davis
2016,Life Sciences,Undergraduate,8872,Davis
2016,Engineering/CS,Undergraduate,4375,Davis
2016,Education,Undergraduate,97,Davis
2016,Business,Undergraduate,1362,Davis
2016,Arts & Humanities,Undergraduate,2485,Davis
2016,Architecture,Undergraduate,345,Davis
2015,Undeclared,Undergraduate,382,Davis
2015,Other/Interdisc.,Undergraduate,1708,Davis
2015,Multiple Majors,Undergraduate,1265,Davis
2015,Social Sciences,Undergraduate,5742,Davis
2015,Physical Sciences,Undergraduate,1735,Davis
2015,Other Health Science,Undergraduate,402,Davis
2015,Life Sciences,Undergraduate,8658,Davis
2015,Engineering/CS,Undergraduate,4305,Davis
2015,Education,Undergraduate,73,Davis
2015,Business,Undergraduate,1297,Davis
2015,Arts & Humanities,Undergraduate,2384,Davis
2015,Architecture,Undergraduate,306,Davis
2014,Undeclared,Undergraduate,432,Davis
2014,Other/Interdisc.,Undergraduate,1536,Davis
2014,Multiple Majors,Undergraduate,1071,Davis
2014,Social Sciences,Undergraduate,5700,Davis
2014,Physical Sciences,Undergraduate,1670,Davis
2014,Other Health Science,Undergraduate,397,Davis
2014,Life Sciences,Undergraduate,8722,Davis
2014,Engineering/CS,Undergraduate,4195,Davis
2014,Education,Undergraduate,42,Davis
2014,Business,Undergraduate,1146,Davis
2014,Arts & Humanities,Undergraduate,2369,Davis
2014,Architecture,Undergraduate,285,Davis
2013,Undeclared,Undergraduate,496,Davis
2013,Other/Interdisc.,Undergraduate,1472,Davis
2013,Multiple Majors,Undergraduate,736,Davis
2013,Social Sciences,Undergraduate,5687,Davis
2013,Physical Sciences,Undergraduate,1607,Davis
2013,Other Health Science,Undergraduate,331,Davis
2013,Life Sciences,Undergraduate,8629,Davis
2013,Engineering/CS,Undergraduate,3837,Davis
2013,Education,Undergraduate,36,Davis
2013,Business,Undergraduate,985,Davis
2013,Arts & Humanities,Undergraduate,2451,Davis
2013,Architecture,Undergraduate,266,Davis
2012,Undeclared,Undergraduate,562,Davis
2012,Other/Interdisc.,Undergraduate,1377,Davis
2012,Multiple Majors,Undergraduate,857,Davis
2012,Social Sciences,Undergraduate,5749,Davis
2012,Physical Sciences,Undergraduate,1593,Davis
2012,Other Health Science,Undergraduate,200,Davis
2012,Life Sciences,Undergraduate,8205,Davis
2012,Engineering/CS,Undergraduate,3640,Davis
2012,Education,Undergraduate,37,Davis
2012,Business,Undergraduate,783,Davis
2012,Arts & Humanities,Undergraduate,2388,Davis
