instnm,Student-to-faculty ratio (EF2015D),Student-to-faculty ratio (EF2014D),Student-to-faculty ratio (EF2013D),Student-to-faculty ratio (EF2012D),Student-to-faculty ratio (EF2011D),Student-to-faculty ratio (EF2010D),Student-to-faculty ratio (EF2009D),Student-to-faculty ratio (EF2008F),
Berkeley,17,17,17,17,17,16,16,20,
Davis,18,18,17,17,16,16,16,20,
Irvine,19,19,19,19,19,19,19,23,
Los Angeles,16,16,16,16,16,16,17,18,
Merced,18,20,20,21,21,16,16,15,
Riverside,19,19,19,19,19,18,19,23,
San Diego,19,19,19,19,19,19,19,24,
Santa Barbara,17,17,17,17,17,17,17,22,
Santa Cruz,18,18,18,18,18,18,18,24,
