instnm,Published in-state tuition 2015-16 (IC2015_AY),Published in-state tuition 2014-15 (IC2014_AY),Published in-state tuition 2013-14 (IC2013_AY),Published in-state tuition 2012-13 (IC2012_AY),Average salary of full time instructional faculty total (SAL2011_A_RV  Professor  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2011_A_RV  Professor  11/12-month contract),Average salary of full time instructional faculty total (SAL2011_A_RV  Professor  9/10-month contract),Average salary of full time instructional faculty total (SAL2011_A_RV  Instructor  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2011_A_RV  Instructor  11/12-month contract),Average salary of full time instructional faculty total (SAL2011_A_RV  Instructor  9/10-month contract),Average salary of full time instructional faculty total (SAL2011_A_RV  Lecturer  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2011_A_RV  Lecturer  11/12-month contract),Average salary of full time instructional faculty total (SAL2011_A_RV  Lecturer  9/10-month contract),Published in-state tuition 2011-12 (IC2011_AY_RV),Average salary of full time instructional faculty total (SAL2010_A_RV  Professor  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2010_A_RV  Professor  11/12-month contract),Average salary of full time instructional faculty total (SAL2010_A_RV  Professor  9/10-month contract),Average salary of full time instructional faculty total (SAL2010_A_RV  Instructor  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2010_A_RV  Instructor  11/12-month contract),Average salary of full time instructional faculty total (SAL2010_A_RV  Instructor  9/10-month contract),Average salary of full time instructional faculty total (SAL2010_A_RV  Lecturer  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2010_A_RV  Lecturer  11/12-month contract),Average salary of full time instructional faculty total (SAL2010_A_RV  Lecturer  9/10-month contract),Published in-state tuition 2010-11 (IC2010_AY_RV),Average salary of full time instructional faculty total (SAL2009_A_RV  Professor  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2009_A_RV  Professor  11/12-month contract),Average salary of full time instructional faculty total (SAL2009_A_RV  Professor  9/10-month contract),Average salary of full time instructional faculty total (SAL2009_A_RV  Instructor  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2009_A_RV  Instructor  11/12-month contract),Average salary of full time instructional faculty total (SAL2009_A_RV  Instructor  9/10-month contract),Average salary of full time instructional faculty total (SAL2009_A_RV  Lecturer  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2009_A_RV  Lecturer  11/12-month contract),Average salary of full time instructional faculty total (SAL2009_A_RV  Lecturer  9/10-month contract),Published in-state tuition 2009-10 (IC2009_AY_RV),Average salary of full time instructional faculty total (SAL2008_A_RV  Professor  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2008_A_RV  Professor  11/12-month contract),Average salary of full time instructional faculty total (SAL2008_A_RV  Professor  9/10-month contract),Average salary of full time instructional faculty total (SAL2008_A_RV  Instructor  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2008_A_RV  Instructor  11/12-month contract),Average salary of full time instructional faculty total (SAL2008_A_RV  Instructor  9/10-month contract),Average salary of full time instructional faculty total (SAL2008_A_RV  Lecturer  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2008_A_RV  Lecturer  11/12-month contract),Average salary of full time instructional faculty total (SAL2008_A_RV  Lecturer  9/10-month contract),Average salary of full time instructional faculty total (SAL2007_A  Professor  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2007_A  Professor  11/12-month contract),Average salary of full time instructional faculty total (SAL2007_A  Professor  9/10-month contract),Average salary of full time instructional faculty total (SAL2007_A  Instructor  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2007_A  Instructor  11/12-month contract),Average salary of full time instructional faculty total (SAL2007_A  Instructor  9/10-month contract),Average salary of full time instructional faculty total (SAL2007_A  Lecturer  Equated 9-month contract),Average salary of full time instructional faculty total (SAL2007_A  Lecturer  11/12-month contract),Average salary of full time instructional faculty total (SAL2007_A  Lecturer  9/10-month contract),Average salary of full time instructional staff total (SAL2006_A  Professor  Equated 9-month contract),Average salary of full time instructional staff total (SAL2006_A  Professor  11/12-month contract),Average salary of full time instructional staff total (SAL2006_A  Professor  9/10-month contract),Average salary of full time instructional staff total (SAL2006_A  Instructor  Equated 9-month contract),Average salary of full time instructional staff total (SAL2006_A  Instructor  11/12-month contract),Average salary of full time instructional staff total (SAL2006_A  Instructor  9/10-month contract),Average salary of full time instructional staff total (SAL2006_A  Lecturer  Equated 9-month contract),Average salary of full time instructional staff total (SAL2006_A  Lecturer  11/12-month contract),Average salary of full time instructional staff total (SAL2006_A  Lecturer  9/10-month contract),
University of California-Berkeley,11220,11220,11220,11220,152521,158910,153852,44951,53200,45900,69731,73981,69901,11220,147142,155262,148375,45109,53200,45900,70588,58585,70871,9402,144569,154300,145828,45900,,45900,70302,105123,70199,7533,143196,138954,144162,44714,53200,45900,64326,47786,64503,139484,141528,140162,44319,53200,45900,60268,77306,60224,130447,134993,131003,41500,,41500,58543,91505,58059,
University of California-Davis,11220,11220,11220,11220,125527,142861,132191,,,,77059,120077,76543,11220,119810,136241,126426,,,,75286,121665,74381,9402,118588,135964,124558,,,,75557,121665,74627,7533,119459,136657,124179,,,,69718,100723,68993,117302,134610,121454,,,,64886,88126,64438,111216,127228,115686,,,,61778,83122,61242,
University of California-Irvine,11220,11220,11220,11220,136329,170925,136285,44182,53999,,76734,,76734,11220,130840,155491,130886,56250,68748,,67143,,67143,9402,129856,164116,129798,,,,66900,,66900,7533,129154,169400,129048,72002,88000,,64355,,64355,126067,181100,125862,,,,59191,,59191,119102,179289,118778,,,,57296,,57296,
University of California-Los Angeles,11220,11220,11220,11220,159808,140289,163406,81233,99282,,74757,121334,74112,11220,151113,136807,154104,77029,,77029,74706,103519,74245,9402,147416,132416,150350,,,,74575,99031,74217,7533,143215,133708,145810,,,,69155,92264,68805,137697,132823,140076,,,,64683,101411,64350,130862,123070,133085,,,,62169,93443,61816,
University of California-Merced,11220,11220,11220,11220,126711,,126711,,,,48685,,48685,11220,123582,,123582,,,,46791,,46791,9402,123037,,123037,,,,46630,,46630,7533,116023,70116,118118,,,,44004,,44004,121781,,121781,,,,42414,,42414,116583,,116583,,,,42111,,42111,
University of California-Riverside,11220,11220,11220,11220,129333,141861,132699,,,,60294,,60294,11220,123693,136310,126980,,,,58626,,58626,9402,121186,133772,124307,,,,58705,,58705,7533,124690,140892,125152,,,,51779,56861,51836,119778,135074,120275,,,,47701,,47701,110024,124253,110581,,,,44807,,44807,
University of California-San Diego,11220,11220,11220,11220,123399,116366,139776,,,,75161,100464,75096,11220,134311,143844,135884,,,,70457,90722,70420,9402,134043,148718,134865,,,,67951,67396,68195,7533,131758,142425,133061,,,,64862,49031,65097,124792,136883,125921,,,,57622,,57622,121922,133125,123136,,,,56599,77112,56539,
University of California-Santa Barbara,11220,11220,11220,11220,138534,,138534,,,,69575,,69575,11220,130988,,130988,,,,66161,,66161,9402,130558,165600,130548,,,,65567,,65567,7533,128452,153000,128465,,,,61870,,61870,126985,140400,127010,,,,56924,,56924,118977,,118977,,,,54687,,54687,
University of California-Santa Cruz,11220,11220,11220,11220,126356,175788,125307,,,,74432,,74432,11220,119536,164688,118592,,,,71039,88903,70996,9402,117248,159030,116319,,,,70689,,70689,7533,115581,134479,115768,,,,64999,,64999,111699,142626,111540,,,,61143,,61143,107874,135986,107743,,,,59535,,59535,
