AcademicYr;BroadDiscipline;StudentLevel;NumOfRecords
2011;Multiple Majors;Graduate;84
2011;Social Sciences;Graduate;487
2011;Physical Sciences;Graduate;575
2011;Other Health Science;Graduate;682
2011;Medicine;Graduate;407
2011;Life Sciences;Graduate;1127
2011;Law;Graduate;596
2011;Engineering/CS;Graduate;985
2011;Education;Graduate;281
2011;Business;Graduate;499
2011;Arts & Humanities;Graduate;426
2011;Architecture;Graduate;40
2010;Other/Interdisc.;Graduate;370
2010;Multiple Majors;Graduate;83
2010;Social Sciences;Graduate;487
2010;Physical Sciences;Graduate;592
2010;Other Health Science;Graduate;628
2010;Medicine;Graduate;397
2010;Life Sciences;Graduate;1135
2010;Law;Graduate;591
2010;Engineering/CS;Graduate;987
2010;Education;Graduate;299
2010;Business;Graduate;515
2010;Arts & Humanities;Graduate;431
2010;Architecture;Graduate;30
2009;Other/Interdisc.;Graduate;404
2009;Multiple Majors;Graduate;87
2009;Social Sciences;Graduate;502
2009;Physical Sciences;Graduate;586
2009;Other Health Science;Graduate;598
2009;Medicine;Graduate;401
2009;Life Sciences;Graduate;1138
2009;Law;Graduate;606
2009;Engineering/CS;Graduate;897
2009;Education;Graduate;260
2009;Business;Graduate;545
2009;Arts & Humanities;Graduate;426
2009;Architecture;Graduate;27
2008;Other/Interdisc.;Graduate;429
2008;Multiple Majors;Graduate;85
2008;Social Sciences;Graduate;506
2008;Physical Sciences;Graduate;547
2008;Other Health Science;Graduate;569
2008;Medicine;Graduate;391
2008;Life Sciences;Graduate;1062
2008;Law;Graduate;575
2008;Engineering/CS;Graduate;884
2008;Education;Graduate;254
2008;Business;Graduate;504
2008;Arts & Humanities;Graduate;413
2008;Architecture;Graduate;25
2007;Other/Interdisc.;Graduate;439
2007;Multiple Majors;Graduate;95
2007;Social Sciences;Graduate;503
2007;Physical Sciences;Graduate;563
2007;Other Health Science;Graduate;543
2007;Medicine;Graduate;386
2007;Life Sciences;Graduate;1091
2007;Law;Graduate;579
2007;Engineering/CS;Graduate;875
2007;Education;Graduate;253
2007;Business;Graduate;457
2007;Arts & Humanities;Graduate;380
2007;Architecture;Graduate;28
